Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1994,10,20,0,13.4,162.9,0,0,-,-,-,-,-,-,Image
1994,10,20,6,13.5,162.5,0,0,-,-,-,-,-,-,Image
1994,10,20,12,13.6,161.8,35,0,-,-,-,symmetric,60,60,Image
1994,10,20,18,13.8,161.2,35,0,-,-,-,symmetric,80,80,Image
1994,10,21,0,14.0,160.5,40,0,-,-,-,symmetric,100,100,Image
1994,10,21,6,14.3,159.8,40,0,-,-,-,symmetric,120,120,Image
1994,10,21,12,14.7,159.0,45,0,-,-,-,symmetric,140,140,Image
1994,10,21,18,15.0,158.3,50,0,-,-,-,symmetric,160,160,Image
1994,10,22,0,15.5,157.5,55,0,symmetric,40,40,symmetric,200,200,Image
1994,10,22,6,15.9,156.7,65,0,symmetric,50,50,symmetric,240,240,Image
1994,10,22,12,16.2,155.5,75,0,symmetric,60,60,symmetric,240,240,Image
1994,10,22,18,16.5,154.4,80,0,symmetric,90,90,symmetric,270,270,Image
1994,10,23,0,16.8,153.1,80,0,symmetric,90,90,symmetric,270,270,Image
1994,10,23,6,16.8,152.0,80,0,symmetric,100,100,symmetric,270,270,Image
1994,10,23,12,16.7,150.9,85,0,symmetric,110,110,symmetric,300,300,Image
1994,10,23,18,16.6,149.8,85,0,symmetric,110,110,symmetric,300,300,Image
1994,10,24,0,16.2,148.9,90,0,symmetric,130,130,symmetric,350,350,Image
1994,10,24,6,16.0,148.2,90,0,symmetric,130,130,symmetric,350,350,Image
1994,10,24,12,15.8,147.6,90,0,symmetric,130,130,symmetric,350,350,Image
1994,10,24,18,15.6,147.3,85,0,symmetric,140,140,symmetric,375,375,Image
1994,10,25,0,15.7,147.2,85,0,symmetric,150,150,symmetric,375,375,Image
1994,10,25,6,15.9,147.2,85,0,symmetric,150,150,symmetric,375,375,Image
1994,10,25,12,16.1,147.4,85,0,symmetric,150,150,symmetric,400,400,Image
1994,10,25,18,16.5,147.7,80,0,symmetric,150,150,symmetric,400,400,Image
1994,10,26,0,17.2,148.3,75,0,symmetric,150,150,symmetric,400,400,Image
1994,10,26,6,18.1,149.0,75,0,symmetric,140,140,symmetric,350,350,Image
1994,10,26,12,18.9,149.4,75,0,symmetric,140,140,symmetric,350,350,Image
1994,10,26,18,19.6,149.8,75,0,symmetric,140,140,symmetric,350,350,Image
1994,10,27,0,20.1,150.3,75,0,symmetric,120,120,symmetric,300,300,Image
1994,10,27,6,20.5,150.7,75,0,symmetric,120,120,symmetric,300,300,Image
1994,10,27,12,20.9,151.1,75,0,symmetric,110,110,symmetric,270,270,Image
1994,10,27,18,21.5,151.4,75,0,symmetric,110,110,symmetric,270,270,Image
1994,10,28,0,22.4,151.7,75,0,symmetric,100,100,symmetric,270,270,Image
1994,10,28,6,23.0,151.5,75,0,symmetric,100,100,symmetric,270,270,Image
1994,10,28,12,23.8,151.2,75,0,symmetric,100,100,symmetric,270,270,Image
1994,10,28,18,24.2,151.2,75,0,symmetric,100,100,symmetric,270,270,Image
1994,10,29,0,24.8,151.2,75,0,symmetric,100,100,symmetric,270,270,Image
1994,10,29,6,25.3,150.9,75,0,symmetric,90,90,symmetric,240,240,Image
1994,10,29,12,25.5,150.4,75,0,symmetric,90,90,symmetric,240,240,Image
1994,10,29,18,26.0,150.0,75,0,symmetric,90,90,symmetric,240,240,Image
1994,10,30,0,26.3,149.9,75,0,symmetric,90,90,symmetric,240,240,Image
1994,10,30,6,26.9,150.0,70,0,symmetric,90,90,symmetric,240,240,Image
1994,10,30,12,27.6,150.2,65,0,symmetric,80,80,symmetric,240,240,Image
1994,10,30,18,29.0,150.6,60,0,symmetric,70,70,symmetric,240,240,Image
1994,10,31,0,30.8,151.4,55,0,symmetric,60,60,symmetric,240,240,Image
1994,10,31,6,32.1,152.7,55,0,symmetric,60,60,symmetric,240,240,Image
1994,10,31,12,33.6,154.9,55,0,symmetric,60,60,symmetric,270,270,Image
1994,10,31,18,35.6,158.0,50,0,-,-,-,symmetric,300,300,Image
1994,11,1,0,38.5,162.0,50,0,-,-,-,symmetric,350,350,Image
1994,11,1,6,40.5,167.5,0,0,-,-,-,-,-,-,Image
1994,11,1,12,42.0,173.0,0,0,-,-,-,-,-,-,Image
1994,11,1,18,45.0,178.0,0,0,-,-,-,-,-,-,Image
1994,11,2,0,48.5,185.5,0,0,-,-,-,-,-,-,Image
