Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2020,7,30,18,15.2,131.2,0,0,-,-,-,-,-,-,Image
2020,7,31,0,16.2,130.8,0,0,-,-,-,-,-,-,Image
2020,7,31,6,17.2,130.2,0,0,-,-,-,-,-,-,Image
2020,7,31,12,17.7,129.7,0,0,-,-,-,-,-,-,Image
2020,7,31,18,18.9,129.4,0,0,-,-,-,-,-,-,Image
2020,8,1,0,20.2,128.8,0,0,-,-,-,-,-,-,Image
2020,8,1,6,20.8,127.7,35,0,-,-,-,NE,120,90,Image
2020,8,1,12,21.3,127.1,35,0,-,-,-,NE,120,90,Image
2020,8,1,18,22.0,126.0,35,0,-,-,-,NE,120,90,Image
2020,8,2,0,22.5,125.1,35,0,-,-,-,E,150,90,Image
2020,8,2,6,23.0,124.4,40,0,-,-,-,E,150,90,Image
2020,8,2,9,23.3,124.4,40,0,-,-,-,E,150,90,Image
2020,8,2,12,23.6,124.2,45,0,-,-,-,E,150,90,Image
2020,8,2,15,23.9,124.0,50,0,-,-,-,E,180,90,Image
2020,8,2,18,24.3,123.9,55,0,E,60,30,E,180,90,Image
2020,8,2,21,24.5,123.7,60,0,E,60,30,E,180,90,Image
2020,8,3,0,25.0,123.5,60,0,E,60,30,E,210,90,Image
2020,8,3,3,25.3,122.8,60,0,E,60,30,E,210,90,Image
2020,8,3,6,26.2,122.6,65,0,E,60,40,SE,210,90,Image
2020,8,3,12,26.8,121.8,70,0,symmetric,60,60,SE,210,90,Image
2020,8,3,18,27.7,121.2,70,0,symmetric,50,50,SE,210,90,Image
2020,8,4,0,28.6,120.7,55,0,symmetric,30,30,SE,180,90,Image
2020,8,4,6,29.7,120.4,45,0,-,-,-,SE,150,90,Image
2020,8,4,12,30.7,120.2,40,0,-,-,-,E,150,90,Image
2020,8,4,18,32.4,120.6,35,0,-,-,-,E,150,90,Image
2020,8,5,0,33.9,120.8,35,0,-,-,-,E,150,90,Image
2020,8,5,6,35.0,121.3,35,0,-,-,-,E,150,90,Image
2020,8,5,12,36.6,122.7,0,0,-,-,-,-,-,-,Image
2020,8,5,18,38.1,125.4,0,0,-,-,-,-,-,-,Image
2020,8,6,0,39.0,128.0,0,0,-,-,-,-,-,-,Image
2020,8,6,6,41.0,132.1,0,0,-,-,-,-,-,-,Image
2020,8,6,12,42.0,134.9,0,0,-,-,-,-,-,-,Image
2020,8,6,18,43.0,136.7,0,0,-,-,-,-,-,-,Image
2020,8,7,0,44.2,139.9,0,0,-,-,-,-,-,-,Image
2020,8,7,6,45.5,143.0,0,0,-,-,-,-,-,-,Image
2020,8,7,12,47.2,145.9,0,0,-,-,-,-,-,-,Image
2020,8,7,18,47.8,147.8,0,0,-,-,-,-,-,-,Image
2020,8,8,0,48.5,150.6,0,0,-,-,-,-,-,-,Image
2020,8,8,6,49.3,154.0,0,0,-,-,-,-,-,-,Image
2020,8,8,12,51.0,155.6,0,0,-,-,-,-,-,-,Image
2020,8,8,18,51.0,158.2,0,0,-,-,-,-,-,-,Image
2020,8,9,0,50.8,160.7,0,0,-,-,-,-,-,-,Image
2020,8,9,6,50.9,162.4,0,0,-,-,-,-,-,-,Image
2020,8,9,12,50.8,164.5,0,0,-,-,-,-,-,-,Image
2020,8,9,18,50.7,167.0,0,0,-,-,-,-,-,-,Image
2020,8,10,0,50.8,169.3,0,0,-,-,-,-,-,-,Image
2020,8,10,6,50.8,171.0,0,0,-,-,-,-,-,-,Image
2020,8,10,12,51.0,172.6,0,0,-,-,-,-,-,-,Image
2020,8,10,18,51.3,174.2,0,0,-,-,-,-,-,-,Image
2020,8,11,0,51.6,175.7,0,0,-,-,-,-,-,-,Image
2020,8,11,6,52.0,177.0,0,0,-,-,-,-,-,-,Image
2020,8,11,12,52.2,178.2,0,0,-,-,-,-,-,-,Image
2020,8,11,18,52.4,179.3,0,0,-,-,-,-,-,-,Image
2020,8,12,0,52.4,179.8,0,0,-,-,-,-,-,-,Image
2020,8,12,6,52.3,180.7,0,0,-,-,-,-,-,-,Image
