time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
2023-06-06T20:00:00,135.3,12.8,热带风暴(TS),8,18,西北,22,1000,180,0,0,,,180,150,100,120,0,0,0,0,0,0,0,0
2023-06-07T02:00:00,134.8,14.2,热带风暴(TS),8,20,西西北,15,998,200,0,0,,,200,180,120,140,0,0,0,0,0,0,0,0
2023-06-07T05:00:00,134.7,14.7,热带风暴(TS),8,20,西西北,14,998,200,0,0,,,200,180,120,140,0,0,0,0,0,0,0,0
2023-06-07T08:00:00,134.2,14.9,热带风暴(TS),9,23,西西北,13,990,340,0,0,,,250,340,120,140,0,0,0,0,0,0,0,0
2023-06-07T14:00:00,134.1,15.0,强热带风暴(STS),10,25,西西北,14,985,340,0,0,,,250,340,120,140,0,0,0,0,0,0,0,0
2023-06-07T17:00:00,133.4,15.4,强热带风暴(STS),10,25,西西北,11,985,340,0,0,,,250,340,120,140,0,0,0,0,0,0,0,0
2023-06-07T20:00:00,133.1,15.5,强热带风暴(STS),10,25,西西北,11,985,340,0,0,,,250,340,120,140,0,0,0,0,0,0,0,0
2023-06-08T02:00:00,132.2,15.5,强热带风暴(STS),10,28,西西北,10,982,340,70,0,,,250,340,120,140,70,60,40,50,0,0,0,0
2023-06-08T05:00:00,132.0,15.8,强热带风暴(STS),10,28,西北,10,982,340,70,0,,,250,340,120,140,70,60,40,50,0,0,0,0
2023-06-08T08:00:00,131.5,16.0,强热带风暴(STS),11,30,西北,8,980,350,80,0,,,350,350,150,180,80,80,40,50,0,0,0,0
2023-06-08T11:00:00,131.3,16.1,强热带风暴(STS),11,30,西北,9,980,350,80,0,,,350,350,150,180,80,80,40,50,0,0,0,0
2023-06-08T14:00:00,131.2,16.2,台风(TY),12,33,西北,8,975,350,100,0,,,350,350,180,200,100,100,60,80,0,0,0,0
2023-06-08T17:00:00,131.0,16.3,台风(TY),12,35,西北,8,970,350,120,80,,,350,350,180,200,120,120,80,100,80,80,40,50
2023-06-08T20:00:00,130.7,16.4,台风(TY),13,38,北西北,8,965,350,120,80,,,350,350,180,200,120,120,80,100,80,80,40,50
2023-06-08T23:00:00,130.6,16.6,台风(TY),13,38,北西北,8,965,350,120,80,,,350,350,180,200,120,120,80,100,80,80,40,50
2023-06-09T02:00:00,130.3,16.8,台风(TY),13,38,北西北,9,965,350,120,80,,,350,350,180,200,120,120,80,100,80,80,40,50
2023-06-09T05:00:00,130.2,17.0,台风(TY),13,38,北西北,8,965,350,120,80,,,350,350,180,200,120,120,80,100,80,80,50,50
2023-06-09T08:00:00,130.2,17.3,台风(TY),13,38,北,6,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-09T11:00:00,130.2,17.5,台风(TY),13,38,北,8,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-09T14:00:00,130.1,18.0,台风(TY),13,38,北,6,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-09T17:00:00,130.0,18.1,台风(TY),13,38,北,7,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-09T20:00:00,129.9,18.2,台风(TY),13,38,北东北,10,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-09T23:00:00,129.9,18.3,台风(TY),13,38,北东北,11,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T02:00:00,129.9,18.5,台风(TY),13,40,北,13,960,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T05:00:00,129.9,18.7,台风(TY),13,40,北东北,14,960,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T08:00:00,129.9,18.9,台风(TY),13,40,北东北,15,960,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T11:00:00,130.1,19.4,台风(TY),13,40,北东北,15,960,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T14:00:00,130.2,19.9,台风(TY),13,40,北东北,16,960,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T17:00:00,130.4,20.4,台风(TY),13,40,北东北,18,960,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T20:00:00,130.7,20.9,台风(TY),13,38,北东北,20,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-10T23:00:00,130.9,21.2,台风(TY),13,38,北东北,22,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-11T02:00:00,131.1,21.7,台风(TY),13,38,北东北,23,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-11T05:00:00,131.3,22.2,台风(TY),13,38,东北,24,965,370,175,100,,,370,350,300,300,175,160,140,140,100,90,80,80
2023-06-11T08:00:00,131.8,22.9,台风(TY),12,35,东北,30,970,350,180,80,,,300,350,320,200,160,180,150,100,80,80,60,50
2023-06-11T14:00:00,132.6,24.1,台风(TY),12,35,东北,30,970,350,180,80,,,300,350,320,200,160,180,150,100,80,80,60,50
2023-06-11T17:00:00,133.1,24.7,台风(TY),12,33,东北,35,975,350,180,0,,,300,350,300,180,150,180,120,80,0,0,0,0
2023-06-11T20:00:00,133.9,25.6,强热带风暴(STS),11,30,东北,36,980,330,160,0,,,280,330,250,170,140,160,120,80,0,0,0,0
2023-06-12T02:00:00,135.0,26.4,强热带风暴(STS),11,30,东北,39,980,330,160,0,,,280,330,250,170,140,160,120,80,0,0,0,0
2023-06-12T05:00:00,136.0,27.2,强热带风暴(STS),11,30,东北,46,980,330,160,0,,,280,330,250,170,140,160,120,80,0,0,0,0
